Empresa,Ano,Receita Total (receita bruta),Lucro Líquido,Custo Operacional (OPEX),Número de Funcionários,País,Setor
NebulaSystems,2023,4500000,980000,2800000,520,Estados Unidos,Inteligência Artificial
HorizonLog,2022,1200000,150000,950000,210,Brasil,Logística
NordicWood,2021,890000,120000,680000,145,Suécia,Manufatura
PacificFish,2024,2100000,340000,1600000,330,Chile,Alimentos
SaharaSolar,2023,3100000,620000,2100000,410,Egito,Energia Renovável
TechDragon,2022,5600000,1200000,3800000,1100,China,Eletrônicos
VinoItaliano,2020,750000,95000,580000,90,Itália,Bebidas
MapleLeafConst,2023,1800000,250000,1350000,280,Canadá,Construção
AussieMining,2021,6200000,1450000,4100000,850,Austrália,Mineração
SambaFashion,2024,920000,180000,650000,120,Brasil,Moda
SeoulElectronics,2022,4800000,920000,3400000,980,Coreia do Sul,Eletrônicos
BerlinAuto,2023,7100000,1100000,5400000,2300,Alemanha,Automotivo
MumbaiSpices,2021,650000,80000,510000,150,Índia,Alimentos
LondonFin,2024,3900000,850000,2600000,450,Reino Unido,Finanças
AndesTravel,2023,1450000,210000,1100000,190,Peru,Turismo
TokyoRobotics,2022,2800000,560000,1900000,360,Japão,Tecnologia
CapeAgro,2024,1100000,160000,850000,200,África do Sul,Agronegócio
SwissPharma,2021,5200000,1300000,3200000,750,Suíça,Farmacêutica
ParisLuxury,2023,2400000,600000,1500000,310,França,Varejo
MexOil,2020,8500000,1800000,5900000,3000,México,Energia
DutchMarine,2022,1950000,320000,1450000,260,Holanda,Logística
IberiaTech,2024,1300000,240000,920000,180,Espanha,Tecnologia
SingaporeTrade,2023,4100000,780000,2900000,540,Singapura,Comércio Exterior
ArgentaMeat,2021,1600000,280000,1200000,320,Argentina,Alimentos
TurkishTextile,2022,1050000,170000,810000,240,Turquia,Têxtil
KiwiFruits,2024,820000,135000,620000,110,Nova Zelândia,Agronegócio
OsloGas,2023,6700000,1550000,4500000,900,Noruega,Energia
VietnamShoes,2021,1250000,190000,980000,450,Vietnã,Manufatura
DubaiRealEstate,2024,5900000,1400000,3800000,600,Emirados Árabes,Imobiliário
SiliconValleySoft,2022,3500000,890000,2100000,400,Estados Unidos,Software
BogotaCoffee,2023,780000,115000,600000,130,Colômbia,Alimentos
GreekShipping,2021,2600000,420000,1950000,340,Grécia,Transporte
WarsawDev,2024,950000,200000,680000,160,Polônia,Tecnologia
CairoCotton,2022,880000,140000,690000,220,Egito,Têxtil
LisbonCork,2023,640000,98000,490000,85,Portugal,Manufatura
